portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
f484ca3b-7c40-42fe-b5aa-a73453b45b0b	TCGA-B6-A0WX-01A-21-A13D-20	a482fc4c-ff1d-46a0-a968-7df06422cc4b	TCGA-B6-A0WX	TCGA-BRCA	7daa9124-2878-4708-ae74-28b17ef4898c	TCGA-B6-A0WX-01A	live	21	--	False
75c14326-f226-4d26-ab36-554a2312e15e	TCGA-B6-A0WX-10A-01	a482fc4c-ff1d-46a0-a968-7df06422cc4b	TCGA-B6-A0WX	TCGA-BRCA	3d2e8c04-bfbf-471d-88a4-1a12b39a6298	TCGA-B6-A0WX-10A	live	01	200.0	False
3591f030-8fec-4bd9-a7c2-cfa14effa7f5	TCGA-A7-A2KD-01A-31	92654f8d-5137-4ffd-aaa3-5ae38eb88226	TCGA-A7-A2KD	TCGA-BRCA	c685196b-c3cf-49fa-aae4-f6ccbe04779f	TCGA-A7-A2KD-01A	live	31	30.0	False
58fcf58b-b94c-4605-a0fc-7ddc5e269879	TCGA-A7-A2KD-01A-41-A24A-20	92654f8d-5137-4ffd-aaa3-5ae38eb88226	TCGA-A7-A2KD	TCGA-BRCA	c685196b-c3cf-49fa-aae4-f6ccbe04779f	TCGA-A7-A2KD-01A	live	41	--	False
21eaf38d-7bd1-4789-b3ab-31a24cbbf084	TCGA-A7-A2KD-10A-01	92654f8d-5137-4ffd-aaa3-5ae38eb88226	TCGA-A7-A2KD	TCGA-BRCA	32964bb8-b248-41fb-8ae6-ab4f4dee6a3f	TCGA-A7-A2KD-10A	live	01	2.0	False
067feb53-e298-42c0-8da9-8fa04e1933a3	TCGA-EW-A2FW-01A-11	e6f527a2-38eb-457e-bb39-3c5b9c0bcbec	TCGA-EW-A2FW	TCGA-BRCA	7e728799-4c12-451a-afa9-0b26996f5736	TCGA-EW-A2FW-01A	live	11	30.0	False
a4c623f3-e037-4a14-9be5-665cfc6a0c65	TCGA-EW-A2FW-01A-21-A24A-20	e6f527a2-38eb-457e-bb39-3c5b9c0bcbec	TCGA-EW-A2FW	TCGA-BRCA	7e728799-4c12-451a-afa9-0b26996f5736	TCGA-EW-A2FW-01A	live	21	--	False
ff09d94b-7a51-4a29-a573-eab65d67e504	TCGA-EW-A2FW-10A-01	e6f527a2-38eb-457e-bb39-3c5b9c0bcbec	TCGA-EW-A2FW	TCGA-BRCA	e681657a-d914-4947-a69b-e66b4a9d4dc6	TCGA-EW-A2FW-10A	live	01	1.0	False
52341dad-b2bf-4985-bb60-4921675983de	TCGA-AN-A0AS-01A-21-A13B-20	7c2a8440-0206-4039-8474-8d62f6c7de0c	TCGA-AN-A0AS	TCGA-BRCA	9d772786-6ac9-4e52-9899-023ffa7247d2	TCGA-AN-A0AS-01A	live	21	--	False
d9765c5f-3d03-48ae-b217-0803f5424f52	TCGA-AN-A0AS-01A-11	7c2a8440-0206-4039-8474-8d62f6c7de0c	TCGA-AN-A0AS	TCGA-BRCA	9d772786-6ac9-4e52-9899-023ffa7247d2	TCGA-AN-A0AS-01A	live	11	30.0	False
fd3fcba8-e1f0-4da0-b8e9-c5b4184d2276	TCGA-AN-A0AS-01A-22-A21W-30	7c2a8440-0206-4039-8474-8d62f6c7de0c	TCGA-AN-A0AS	TCGA-BRCA	9d772786-6ac9-4e52-9899-023ffa7247d2	TCGA-AN-A0AS-01A	live	22	--	False
35b5988d-c35a-4d9c-8ae0-6f330384bc75	TCGA-AN-A0AS-10A-01	7c2a8440-0206-4039-8474-8d62f6c7de0c	TCGA-AN-A0AS	TCGA-BRCA	75c596b0-fb74-469f-b01b-f8aea1869389	TCGA-AN-A0AS-10A	live	01	--	False
63110f61-fada-4e0a-93fe-1dec0c0d1caf	TCGA-LL-A50Y-01A-11	91da548b-5c64-49c3-a44a-1ef115f53311	TCGA-LL-A50Y	TCGA-BRCA	cc10feb5-ced7-4c1e-b429-c4ac77236765	TCGA-LL-A50Y-01A	live	11	30.0	False
acabe392-7b49-4967-90b5-81ac53cfec8e	TCGA-LL-A50Y-01A-21-A321-20	91da548b-5c64-49c3-a44a-1ef115f53311	TCGA-LL-A50Y	TCGA-BRCA	cc10feb5-ced7-4c1e-b429-c4ac77236765	TCGA-LL-A50Y-01A	live	21	--	False
ca0b4b4e-1f0c-44b9-a3fd-053e54ebeaac	TCGA-LL-A50Y-10A-01	91da548b-5c64-49c3-a44a-1ef115f53311	TCGA-LL-A50Y	TCGA-BRCA	9bed935b-0f40-4532-8276-ac9a25207158	TCGA-LL-A50Y-10A	live	01	2.0	False
69b1337e-8eb3-46b6-87e3-6e428b7e3d7e	TCGA-D8-A1XF-10A-01	6f6afd31-b5dd-48ab-b18f-6390ba18a5f0	TCGA-D8-A1XF	TCGA-BRCA	03b5c7e9-0112-4992-a955-52aa9734add0	TCGA-D8-A1XF-10A	live	01	--	False
83d58431-912e-4861-90cb-1dffc7d4a8b0	TCGA-D8-A1XF-01A-21-A17K-20	6f6afd31-b5dd-48ab-b18f-6390ba18a5f0	TCGA-D8-A1XF	TCGA-BRCA	3b675bbd-b18e-4b72-b3c3-30527a9c157a	TCGA-D8-A1XF-01A	live	21	--	False
82f04a06-f356-4ee2-9601-736eb2583d6c	TCGA-D8-A1XF-01A-11	6f6afd31-b5dd-48ab-b18f-6390ba18a5f0	TCGA-D8-A1XF	TCGA-BRCA	3b675bbd-b18e-4b72-b3c3-30527a9c157a	TCGA-D8-A1XF-01A	live	11	30.0	False
0e066329-c7a4-420f-a3c0-e5a745afd76e	TCGA-E2-A150-01A-11	4ac693e9-10f3-46b3-9d46-df3af7b0d259	TCGA-E2-A150	TCGA-BRCA	209bcf2c-dac4-48e4-b47c-5a4c8e8797b9	TCGA-E2-A150-01A	live	11	30.0	False
c44ec1a9-cea5-46a0-b2c5-1686127fd1eb	TCGA-E2-A150-01A-21-A13E-20	4ac693e9-10f3-46b3-9d46-df3af7b0d259	TCGA-E2-A150	TCGA-BRCA	209bcf2c-dac4-48e4-b47c-5a4c8e8797b9	TCGA-E2-A150-01A	live	21	--	False
76c97e4b-b204-40b5-ad8c-a846024237fa	TCGA-E2-A150-01A-12-A21W-30	4ac693e9-10f3-46b3-9d46-df3af7b0d259	TCGA-E2-A150	TCGA-BRCA	209bcf2c-dac4-48e4-b47c-5a4c8e8797b9	TCGA-E2-A150-01A	live	12	--	False
e2320d41-e647-45bc-9b95-1c15f2752166	TCGA-E2-A150-10A-01	4ac693e9-10f3-46b3-9d46-df3af7b0d259	TCGA-E2-A150	TCGA-BRCA	75487c4a-48a5-4832-a508-6d2f9a1147de	TCGA-E2-A150-10A	live	01	--	False
cd84d4f9-a7d3-46f5-95fc-4e7a9f25e818	TCGA-AO-A12G-01A-11	58c56d4b-3f85-4aad-a779-5f9e1791677d	TCGA-AO-A12G	TCGA-BRCA	9f48e197-0bfb-430e-a874-d14178485367	TCGA-AO-A12G-01A	live	11	30.0	False
e5214399-e1f0-42f1-be38-366c47e438fa	TCGA-AO-A12G-01A-21-A13D-20	58c56d4b-3f85-4aad-a779-5f9e1791677d	TCGA-AO-A12G	TCGA-BRCA	9f48e197-0bfb-430e-a874-d14178485367	TCGA-AO-A12G-01A	live	21	--	False
c9ff46f2-e02a-438a-a6ae-ad68455b4f1d	TCGA-AO-A12G-10A-01	58c56d4b-3f85-4aad-a779-5f9e1791677d	TCGA-AO-A12G	TCGA-BRCA	c9651550-c99d-40c6-818c-8b09d42af8a5	TCGA-AO-A12G-10A	live	01	--	False
5ef5090f-9d9c-43ba-b7dd-d805d01e9dd1	TCGA-EW-A1P1-10A-01	f2e28af9-c40e-41c4-9e82-205cca38f26a	TCGA-EW-A1P1	TCGA-BRCA	c1b77d24-55fc-41b7-ae63-718205682f93	TCGA-EW-A1P1-10A	live	01	2.0	False
3d649ce7-95df-442d-a4bb-88e71c4f5b10	TCGA-EW-A1P1-01A-21-A17J-20	f2e28af9-c40e-41c4-9e82-205cca38f26a	TCGA-EW-A1P1	TCGA-BRCA	652c3b39-d1cb-42e8-98e1-2acb0011bd50	TCGA-EW-A1P1-01A	live	21	--	False
